id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,feature drift,70,36,29,20,129,watch,baseline,monotonic-signal
g002,window width,101,27,40,72,253,ship,edge,drag-penalty
g003,metric stability,32,25,26,36,83,hold,recovery,confidence-floor
g004,explainability,45,61,21,89,266,ship,negative,lane-boundary
g005,feature drift,99,47,20,34,253,ship,baseline,monotonic-signal
g006,window width,85,42,21,97,343,ship,edge,drag-penalty
g007,metric stability,82,77,44,47,203,ship,recovery,confidence-floor
g008,explainability,84,62,36,69,260,ship,negative,lane-boundary
g009,feature drift,44,22,12,42,158,watch,baseline,monotonic-signal
g010,window width,116,75,23,76,390,ship,edge,drag-penalty
g011,metric stability,67,34,9,54,249,ship,recovery,confidence-floor
g012,explainability,46,51,45,48,104,hold,negative,lane-boundary
g013,feature drift,83,62,42,49,200,ship,baseline,monotonic-signal
g014,window width,105,70,23,54,319,ship,edge,drag-penalty
g015,metric stability,32,76,36,61,154,watch,recovery,confidence-floor
g016,explainability,87,47,23,69,290,ship,negative,lane-boundary
g017,feature drift,74,35,39,78,222,ship,baseline,monotonic-signal
g018,window width,71,31,27,87,266,ship,edge,drag-penalty
g019,metric stability,117,67,44,96,361,ship,recovery,confidence-floor
g020,explainability,55,17,12,105,301,ship,negative,lane-boundary
g021,feature drift,116,65,18,71,385,ship,baseline,monotonic-signal
g022,window width,62,56,44,35,118,watch,edge,drag-penalty
g023,metric stability,82,54,37,88,283,ship,recovery,confidence-floor
g024,explainability,52,56,14,33,184,watch,negative,lane-boundary
g025,feature drift,84,60,25,96,345,ship,baseline,monotonic-signal
g026,window width,104,29,11,46,296,ship,edge,drag-penalty
g027,metric stability,73,16,6,68,280,ship,recovery,confidence-floor
g028,explainability,61,47,5,41,236,ship,negative,lane-boundary
g029,feature drift,103,65,6,75,403,ship,baseline,monotonic-signal
g030,window width,83,41,29,53,226,ship,edge,drag-penalty
g031,metric stability,77,32,21,47,217,ship,recovery,confidence-floor
g032,explainability,111,30,39,48,231,ship,negative,lane-boundary
g033,feature drift,54,66,8,53,256,ship,baseline,monotonic-signal
g034,window width,73,52,36,60,210,ship,edge,drag-penalty
g035,metric stability,86,47,30,68,265,ship,recovery,confidence-floor
g036,explainability,52,12,27,77,189,watch,negative,lane-boundary
g037,feature drift,38,67,8,86,291,ship,baseline,monotonic-signal
g038,window width,35,27,21,95,224,ship,edge,drag-penalty
g039,metric stability,37,10,8,104,268,ship,recovery,confidence-floor
g040,explainability,85,39,24,70,277,ship,negative,lane-boundary
g041,feature drift,69,56,12,34,226,ship,baseline,monotonic-signal
g042,window width,108,67,29,87,370,ship,edge,drag-penalty
g043,metric stability,87,75,39,32,196,ship,recovery,confidence-floor
g044,explainability,36,11,45,95,138,watch,negative,lane-boundary
g045,feature drift,58,52,29,45,171,watch,baseline,monotonic-signal
g046,window width,73,40,22,67,254,ship,edge,drag-penalty
g047,metric stability,40,36,41,40,73,hold,recovery,confidence-floor
g048,explainability,115,72,10,74,420,ship,negative,lane-boundary
g049,feature drift,112,22,38,52,236,ship,baseline,monotonic-signal
g050,window width,70,70,33,46,203,ship,edge,drag-penalty
g051,metric stability,96,61,32,47,251,ship,recovery,confidence-floor
g052,explainability,69,59,33,52,202,ship,negative,lane-boundary
g053,feature drift,103,61,14,59,343,ship,baseline,monotonic-signal
g054,window width,35,65,6,67,251,ship,edge,drag-penalty
g055,metric stability,93,34,24,76,300,ship,recovery,confidence-floor
g056,explainability,37,21,35,85,160,watch,negative,lane-boundary
g057,feature drift,57,52,21,94,291,ship,baseline,monotonic-signal
g058,window width,114,70,15,103,459,ship,edge,drag-penalty
g059,metric stability,102,46,12,69,352,ship,recovery,confidence-floor
g060,explainability,56,37,35,33,110,hold,negative,lane-boundary
g061,feature drift,36,35,6,86,261,ship,baseline,monotonic-signal
g062,window width,30,71,35,31,88,hold,edge,drag-penalty
g063,metric stability,64,57,9,94,346,ship,recovery,confidence-floor
g064,explainability,95,52,39,44,213,ship,negative,lane-boundary
g065,feature drift,114,17,14,66,335,ship,baseline,monotonic-signal
g066,window width,39,72,24,39,156,watch,edge,drag-penalty
g067,metric stability,93,32,30,73,274,ship,recovery,confidence-floor
g068,explainability,79,15,14,51,233,ship,negative,lane-boundary
g069,feature drift,76,44,7,45,265,ship,baseline,monotonic-signal
g070,window width,78,61,26,46,231,ship,edge,drag-penalty
g071,metric stability,38,72,37,51,139,watch,recovery,confidence-floor
g072,explainability,110,10,23,58,277,ship,negative,lane-boundary
g073,feature drift,61,16,18,66,216,ship,baseline,monotonic-signal
g074,window width,40,57,17,75,236,ship,edge,drag-penalty
g075,metric stability,77,45,18,84,313,ship,recovery,confidence-floor
g076,explainability,99,41,41,93,302,ship,negative,lane-boundary
g077,feature drift,114,77,33,102,410,ship,baseline,monotonic-signal
g078,window width,81,27,9,68,298,ship,edge,drag-penalty
g079,metric stability,68,75,20,32,215,ship,recovery,confidence-floor
g080,explainability,65,66,6,85,348,ship,negative,lane-boundary
g081,feature drift,111,64,42,30,220,ship,baseline,monotonic-signal
g082,window width,49,66,39,93,233,ship,edge,drag-penalty
g083,metric stability,110,70,20,43,316,ship,recovery,confidence-floor
g084,explainability,56,39,33,65,182,watch,negative,lane-boundary
g085,feature drift,76,26,20,38,194,ship,baseline,monotonic-signal
g086,window width,46,57,36,72,185,watch,edge,drag-penalty
g087,metric stability,78,75,24,50,259,ship,recovery,confidence-floor
g088,explainability,98,51,41,44,212,ship,negative,lane-boundary
g089,feature drift,67,42,9,45,239,ship,baseline,monotonic-signal
g090,window width,55,40,15,50,205,ship,edge,drag-penalty
g091,metric stability,97,76,41,57,261,ship,recovery,confidence-floor
g092,explainability,77,62,34,65,244,ship,negative,lane-boundary
g093,feature drift,71,57,11,74,314,ship,baseline,monotonic-signal
g094,window width,105,22,22,83,332,ship,edge,drag-penalty
g095,metric stability,48,77,8,92,333,ship,recovery,confidence-floor
g096,explainability,67,37,45,101,238,ship,negative,lane-boundary
